plot,spec,hits
E2SF,Erivag,0
E2SF,Eupfri,0
E2SF,Fesovi,0
E2SF,Hupsel,0
E2SF,Juntri,0
E2SF,Linbor,0
E2SF,Loipro,0
E2SF,Luzspi,0
E2SF,Pedlap,0
E2SF,Pinvul,0
E2SF,Pyrsp.,0
E2SF,Rholap,0
E2SF,Rubcha,0
E2SF,Salmyr,0
E2SF,Salgla,20
E2SF,Salret,0
E2SF,Saualp,0
E2SF,Silaca,0
E2SF,Thaalp,0
E2SF,Tofpus,0
E2SF,Trices,0
E2SF,Vacmic,0
E2SF,Vaculi,115
E2SF,Vacvit,47
E2C,Andpol,0
E2C,Arcalp,18
E2C,Astalp,0
E2C,Baralp,0
E2C,Betnan,65
E2C,Bisviv,0
E2C,Callap,18
E2C,Carbig,0
E2C,Carcap,0
E2C,Cardio,0
E2C,Carnig,0
E2C,Carrup,0
E2C,Carvag,0
E2C,Castet,0
E2C,Dessp.,0
E2C,Dialap,3
E2C,Dryoct,0
E2C,Empnig,639
E2C,Equpra,10
E2C,Equsci,0
E2C,Erilat,0
E2C,Erivag,0
E2C,Eupfri,0
E2C,Fesovi,0
E2C,Hupsel,0
E2C,Juntri,0
E2C,Linbor,30
E2C,Loipro,4
E2C,Luzspi,0
E2C,Pedlap,0
E2C,Pinvul,0
E2C,Pyrsp.,0
E2C,Rholap,0
E2C,Rubcha,0
E2C,Salmyr,0
E2C,Salgla,4
E2C,Salret,0
E2C,Saualp,0
E2C,Silaca,0
E2C,Thaalp,0
E2C,Tofpus,0
E2C,Trices,0
E2C,Vacmic,0
E2C,Vaculi,50
E2C,Vacvit,67
E3SF,Andpol,0
E3SF,Arcalp,13
E3SF,Astalp,0
E3SF,Baralp,0
E3SF,Betnan,139
E3SF,Bisviv,0
E3SF,Callap,46
E3SF,Carbig,1
E3SF,Carcap,0
E3SF,Cardio,0
E3SF,Carnig,0
E3SF,Carrup,0
E3SF,Carvag,1
E3SF,Castet,0
E3SF,Dessp.,0
E3SF,Dialap,0
E3SF,Dryoct,0
E3SF,Empnig,770
E3SF,Equpra,0
E3SF,Equsci,0
E3SF,Erilat,0
E3SF,Erivag,0
E3SF,Eupfri,0
E3SF,Fesovi,0
E3SF,Hupsel,0
E3SF,Juntri,0
E3SF,Linbor,0
E3SF,Loipro,21
E3SF,Luzspi,0
E3SF,Pedlap,0
E3SF,Pinvul,0
E3SF,Pyrsp.,0
E3SF,Rholap,0
E3SF,Rubcha,2
E3SF,Salmyr,0
E3SF,Salgla,0
E3SF,Salret,0
E3SF,Saualp,0
E3SF,Silaca,0
E3SF,Thaalp,0
E3SF,Tofpus,0
E3SF,Trices,0
E3SF,Vacmic,0
E3SF,Vaculi,93
E3SF,Vacvit,22
E3C,Andpol,28
E3C,Arcalp,0
E3C,Astalp,0
E3C,Baralp,0
E3C,Betnan,54
E3C,Bisviv,0
E3C,Callap,8
E3C,Carbig,0
E3C,Carcap,0
E3C,Cardio,0
E3C,Carnig,0
E3C,Carrup,0
E3C,Carvag,0
E3C,Castet,0
E3C,Dessp.,0
E3C,Dialap,0
E3C,Dryoct,0
E3C,Empnig,1345
E3C,Equpra,20
E3C,Equsci,12
E3C,Erilat,0
E3C,Erivag,0
E3C,Eupfri,0
E3C,Fesovi,0
E3C,Hupsel,0
E3C,Juntri,0
E3C,Linbor,0
E3C,Loipro,0
E3C,Luzspi,0
E3C,Pedlap,0
E3C,Pinvul,0
E3C,Pyrsp.,0
E3C,Rholap,0
E3C,Rubcha,0
E3C,Salmyr,0
E3C,Salgla,1
