plot,spec,hits
E1SF,Juntri,0
E1C,Juntri,0
E2SF,Juntri,0
E2C,Juntri,0
E3SF,Juntri,0
E3C,Juntri,0
E4SF,Juntri,0
E4C,Juntri,0
E5SF,Juntri,0
E5C,Juntri,0
X1SF,Juntri,5
X1C,Juntri,0
X2SF,Juntri,0
X2C,Juntri,1
X3SF,Juntri,2
X3C,Juntri,0
X4SF,Juntri,6
X4C,Juntri,0
X5SF,Juntri,1
X5C,Juntri,0
D1SF,Linbor,0
D1C,Linbor,0
D2SF,Linbor,0
D2C,Linbor,0
D3SF,Linbor,0
D3C,Linbor,0
D4SF,Linbor,0
D4C,Linbor,0
D5SF,Linbor,0
D5C,Linbor,0
E1SF,Linbor,0
E1C,Linbor,0
E2SF,Linbor,0
E2C,Linbor,30
E3SF,Linbor,0
E3C,Linbor,0
E4SF,Linbor,0
E4C,Linbor,0
E5SF,Linbor,0
E5C,Linbor,0
X1SF,Linbor,0
X1C,Linbor,0
X2SF,Linbor,0
X2C,Linbor,0
X3SF,Linbor,0
X3C,Linbor,0
X4SF,Linbor,0
X4C,Linbor,0
X5SF,Linbor,0
X5C,Linbor,0
D1SF,Loipro,0
D1C,Loipro,0
D2SF,Loipro,0
D2C,Loipro,0
D3SF,Loipro,0
D3C,Loipro,0
D4SF,Loipro,0
D4C,Loipro,0
D5SF,Loipro,0
D5C,Loipro,0
E1SF,Loipro,0
E1C,Loipro,0
E2SF,Loipro,0
E2C,Loipro,0
E3SF,Loipro,0
E3C,Loipro,0
E4SF,Loipro,0
E4C,Loipro,0
E5SF,Loipro,20
E5C,Loipro,0
X1SF,Loipro,3
X1C,Loipro,43
X2SF,Loipro,30
X2C,Loipro,35
X3SF,Loipro,12
X3C,Loipro,0
X4SF,Loipro,8
X4C,Loipro,1
X5SF,Loipro,54
X5C,Loipro,24
D1SF,Pedlap,0
D1C,Pedlap,0
D2SF,Pedlap,0
D2C,Pedlap,0
D3SF,Pedlap,0
D3C,Pedlap,0
D4SF,Pedlap,0
D4C,Pedlap,0
D5SF,Pedlap,0
D5C,Pedlap,0
E1SF,Pedlap,3
E1C,Pedlap,0
E2SF,Pedlap,0
E2C,Pedlap,0
E3SF,Pedlap,0
E3C,Pedlap,0
E4SF,Pedlap,2
E4C,Pedlap,4
E5SF,Pedlap,6
E5C,Pedlap,0
X1SF,Pedlap,0
X1C,Pedlap,0
X2SF,Pedlap,0
X2C,Pedlap,0
X3SF,Pedlap,0
X3C,Pedlap,0
X4SF,Pedlap,0
X4C,Pedlap,0
X5SF,Pedlap,0
X5C,Pedlap,0
D1SF,Phycae,0
D1C,Phycae,0
D2SF,Phycae,0
D2C,Phycae,0
D3SF,Phycae,0
D3C,Phycae,0
D4SF,Phycae,0
D4C,Phycae,0
D5SF,Phycae,0
D5C,Phycae,0
E1SF,Phycae,1
E1C,Phycae,1
E2SF,Phycae,0
E2C,Phycae,0
E3SF,Phycae,0
E3C,Phycae,0
E4SF,Phycae,0
E4C,Phycae,0
E5SF,Phycae,0
E5C,Phycae,0
X1SF,Phycae,0
X1C,Phycae,0
X2SF,Phycae,0
X2C,Phycae,0
X3SF,Phycae,0
X3C,Phycae,0
X4SF,Phycae,0
X4C,Phycae,0
X5SF,Phycae,0
X5C,Phycae,0
D1SF,Pinvil,0
D1C,Pinvil,0
D2SF,Pinvil,0
D2C,Pinvil,4
D3SF,Pinvil,0
D3C,Pinvil,0
D4SF,Pinvil,0
D4C,Pinvil,8
D5SF,Pinvil,0
D5C,Pinvil,0
E1SF,Pinvil,0
E1C,Pinvil,0
E2SF,Pinvil,0
E2C,Pinvil,0
E3SF,Pinvil,0
E3C,Pinvil,0
E4SF,Pinvil,0
E4C,Pinvil,0
E5SF,Pinvil,0
E5C,Pinvil,0
X1SF,Pinvil,0
X1C,Pinvil,0
X2SF,Pinvil,0
X2C,Pinvil,0
X3SF,Pinvil,0
X3C,Pinvil,0
X4SF,Pinvil,0
X4C,Pinvil,0
X5SF,Pinvil,0
X5C,Pinvil,0
D1SF,Pinvul,0
D1C,Pinvul,0
D2SF,Pinvul,11
D2C,Pinvul,6
D3SF,Pinvul,1
D3C,Pinvul,12
D4SF,Pinvul,2
D4C,Pinvul,29
D5SF,Pinvul,0
D5C,Pinvul,1
E1SF,Pinvul,0
E1C,Pinvul,0
E2SF,Pinvul,0
E2C,Pinvul,0
E3SF,Pinvul,0
E3C,Pinvul,0
E4SF,Pinvul,0
E4C,Pinvul,0
E5SF,Pinvul,0
E5C,Pinvul,0
X1SF,Pinvul,0
X1C,Pinvul,0
X2SF,Pinvul,0
X2C,Pinvul,1
X3SF,Pinvul,0
X3C,Pinvul,0
X4SF,Pinvul,0
X4C,Pinvul,0
X5SF,Pinvul,0
X5C,Pinvul,0
D1SF,Pyrsp.,0
D1C,Pyrsp.,0
D2SF,Pyrsp.,0
D2C,Pyrsp.,0
D3SF,Pyrsp.,0
D3C,Pyrsp.,0
D4SF,Pyrsp.,0
D4C,Pyrsp.,0
D5SF,Pyrsp.,1
D5C,Pyrsp.,0
E1SF,Pyrsp.,0
