species,plot,hits
Cassiope tetragona,E2SF,0
Cassiope tetragona,E2C,0
Cassiope tetragona,E3SF,0
Cassiope tetragona,E3C,0
Cassiope tetragona,E4SF,0
Cassiope tetragona,E4C,0
Cassiope tetragona,E5SF,0
Cassiope tetragona,E5C,0
Cassiope tetragona,X1SF,0
Cassiope tetragona,X1C,0
Cassiope tetragona,X2SF,0
Cassiope tetragona,X2C,0
Cassiope tetragona,X3SF,0
Cassiope tetragona,X3C,0
Cassiope tetragona,X4SF,0
Cassiope tetragona,X4C,0
Cassiope tetragona,X5SF,0
Cassiope tetragona,X5C,0
Deschampsia sp.,D1SF,0
Deschampsia sp.,D1C,0
Deschampsia sp.,D2SF,0
Deschampsia sp.,D2C,0
Deschampsia sp.,D3SF,0
Deschampsia sp.,D3C,0
Deschampsia sp.,D4SF,0
Deschampsia sp.,D4C,0
Deschampsia sp.,D5SF,4
Deschampsia sp.,D5C,0
Deschampsia sp.,E1SF,0
Deschampsia sp.,E1C,0
Deschampsia sp.,E2SF,0
Deschampsia sp.,E2C,0
Deschampsia sp.,E3SF,0
Deschampsia sp.,E3C,0
Deschampsia sp.,E4SF,0
Deschampsia sp.,E4C,0
Deschampsia sp.,E5SF,0
Deschampsia sp.,E5C,0
Deschampsia sp.,X1SF,0
Deschampsia sp.,X1C,0
Deschampsia sp.,X2SF,0
Deschampsia sp.,X2C,0
Deschampsia sp.,X3SF,0
Deschampsia sp.,X3C,0
Deschampsia sp.,X4SF,0
Deschampsia sp.,X4C,0
Deschampsia sp.,X5SF,0
Deschampsia sp.,X5C,0
Diapensia lapponica,D1SF,2
Diapensia lapponica,D1C,0
Diapensia lapponica,D2SF,0
Diapensia lapponica,D2C,0
Diapensia lapponica,D3SF,0
Diapensia lapponica,D3C,0
Diapensia lapponica,D4SF,0
Diapensia lapponica,D4C,0
Diapensia lapponica,D5SF,0
Diapensia lapponica,D5C,0
Diapensia lapponica,E1SF,0
Diapensia lapponica,E1C,0
Diapensia lapponica,E2SF,0
Diapensia lapponica,E2C,3
Diapensia lapponica,E3SF,0
Diapensia lapponica,E3C,0
Diapensia lapponica,E4SF,0
Diapensia lapponica,E4C,1
Diapensia lapponica,E5SF,0
Diapensia lapponica,E5C,0
Diapensia lapponica,X1SF,0
Diapensia lapponica,X1C,2
Diapensia lapponica,X2SF,8
Diapensia lapponica,X2C,3
Diapensia lapponica,X3SF,9
Diapensia lapponica,X3C,0
Diapensia lapponica,X4SF,0
Diapensia lapponica,X4C,0
Diapensia lapponica,X5SF,2
Diapensia lapponica,X5C,9
Dryas octopetala,D1SF,0
Dryas octopetala,D1C,0
Dryas octopetala,D2SF,3
Dryas octopetala,D2C,6
Dryas octopetala,D3SF,0
Dryas octopetala,D3C,0
Dryas octopetala,D4SF,0
Dryas octopetala,D4C,0
Dryas octopetala,D5SF,0
Dryas octopetala,D5C,0
Dryas octopetala,E1SF,0
Dryas octopetala,E1C,0
Dryas octopetala,E2SF,0
Dryas octopetala,E2C,0
Dryas octopetala,E3SF,0
Dryas octopetala,E3C,0
Dryas octopetala,E4SF,1
Dryas octopetala,E4C,0
Dryas octopetala,E5SF,0
Dryas octopetala,E5C,0
Dryas octopetala,X1SF,0
Dryas octopetala,X1C,0
Dryas octopetala,X2SF,1
Dryas octopetala,X2C,40
Dryas octopetala,X3SF,0
