plot,species,hits
E2SF,Dryas octopetala,0
E2C,Dryas octopetala,0
E3SF,Dryas octopetala,0
E3C,Dryas octopetala,0
E4SF,Dryas octopetala,3
E4C,Dryas octopetala,0
E5SF,Dryas octopetala,0
E5C,Dryas octopetala,0
X1SF,Dryas octopetala,0
X1C,Dryas octopetala,0
X2SF,Dryas octopetala,9
X2C,Dryas octopetala,27
X3SF,Dryas octopetala,0
X3C,Dryas octopetala,0
X4SF,Dryas octopetala,0
X4C,Dryas octopetala,2
X5SF,Dryas octopetala,12
X5C,Dryas octopetala,6
D1SF,Empetrum nigrum,40
D1C,Empetrum nigrum,39
D2SF,Empetrum nigrum,10
D2C,Empetrum nigrum,3
D3SF,Empetrum nigrum,1
D3C,Empetrum nigrum,5
D4SF,Empetrum nigrum,34
D4C,Empetrum nigrum,43
D5SF,Empetrum nigrum,81
D5C,Empetrum nigrum,0
E1SF,Empetrum nigrum,171
E1C,Empetrum nigrum,355
E2SF,Empetrum nigrum,266
E2C,Empetrum nigrum,332
E3SF,Empetrum nigrum,257
E3C,Empetrum nigrum,414
E4SF,Empetrum nigrum,227
E4C,Empetrum nigrum,347
E5SF,Empetrum nigrum,159
E5C,Empetrum nigrum,342
X1SF,Empetrum nigrum,56
X1C,Empetrum nigrum,74
X2SF,Empetrum nigrum,52
X2C,Empetrum nigrum,26
X3SF,Empetrum nigrum,58
X3C,Empetrum nigrum,10
X4SF,Empetrum nigrum,102
X4C,Empetrum nigrum,91
X5SF,Empetrum nigrum,47
X5C,Empetrum nigrum,9
D1SF,Equisetum arvense,0
D1C,Equisetum arvense,0
D2SF,Equisetum arvense,0
D2C,Equisetum arvense,0
D3SF,Equisetum arvense,0
D3C,Equisetum arvense,0
D4SF,Equisetum arvense,0
D4C,Equisetum arvense,0
D5SF,Equisetum arvense,0
D5C,Equisetum arvense,0
E1SF,Equisetum arvense,0
E1C,Equisetum arvense,0
E2SF,Equisetum arvense,0
E2C,Equisetum arvense,0
E3SF,Equisetum arvense,0
E3C,Equisetum arvense,0
E4SF,Equisetum arvense,0
E4C,Equisetum arvense,0
E5SF,Equisetum arvense,2
E5C,Equisetum arvense,0
X1SF,Equisetum arvense,0
X1C,Equisetum arvense,0
X2SF,Equisetum arvense,0
X2C,Equisetum arvense,0
X3SF,Equisetum arvense,0
X3C,Equisetum arvense,0
X4SF,Equisetum arvense,0
X4C,Equisetum arvense,0
X5SF,Equisetum arvense,0
X5C,Equisetum arvense,0
D1SF,Equisetum pratense,5
D1C,Equisetum pratense,31
D2SF,Equisetum pratense,0
D2C,Equisetum pratense,0
D3SF,Equisetum pratense,0
D3C,Equisetum pratense,0
D4SF,Equisetum pratense,0
D4C,Equisetum pratense,0
D5SF,Equisetum pratense,0
D5C,Equisetum pratense,19
E1SF,Equisetum pratense,0
E1C,Equisetum pratense,0
E2SF,Equisetum pratense,0
E2C,Equisetum pratense,9
E3SF,Equisetum pratense,0
E3C,Equisetum pratense,13
E4SF,Equisetum pratense,2
E4C,Equisetum pratense,0
E5SF,Equisetum pratense,14
E5C,Equisetum pratense,0
X1SF,Equisetum pratense,0
